,CarName,Price,Year,KilometersDriven,Fuel Type,Location
417,Maruti Swift,"4,81,000",2013,"57,770 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
418,Hyundai Grand i10,"4,23,000",2014,"46,942 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
419,Maruti Swift Dzire,"5,19,000",2014,"46,639 KM",PETROL,"Bellahalli, Bengaluru"
420,Volkswagen TAIGUN,"14,69,000",2021,"9,915 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
421,Maruti Alto K10,"3,19,000",2015,"81,846 KM",PETROL,"Bellahalli, Bengaluru"
422,Toyota URBAN CRUISER,"8,71,000",2020,"1,11,712 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
423,Hyundai Grand i10,"5,72,000",2019,"38,771 KM",PETROL,"Bellahalli, Bengaluru"
424,Volkswagen Polo,"6,75,000",2017,"1,44,223 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
425,Renault TRIBER,"7,88,000",2021,"10,060 KM",PETROL,"GT World Mall, Bengaluru"
426,Maruti Celerio,"4,31,000",2015,"44,385 KM",PETROL,"Sonnappanahalli, Bengaluru"
427,Honda Jazz,"7,59,000",2019,"32,790 KM",PETROL,"Bellahalli, Bengaluru"
428,Maruti Celerio,"4,74,000",2017,"31,635 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
429,Maruti New Wagon-R,"5,47,000",2019,"29,326 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
430,Hyundai Grand i10,"6,59,000",2018,"8,034 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
431,Hyundai GRAND I10 NIOS,"5,55,000",2020,"19,202 KM",PETROL,"Bellahalli, Bengaluru"
432,Hyundai i20 Active,"6,52,000",2015,"83,856 KM",DIESEL,"Bellahalli, Bengaluru"
433,Maruti Swift,"6,76,000",2017,"41,981 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
434,Hyundai Grand i10,"5,10,000",2015,"26,744 KM",PETROL,"Bellahalli, Bengaluru"
435,Maruti BREZZA,"13,35,000",2023,"3,926 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
436,Maruti Swift,"5,97,000",2017,"64,917 KM",PETROL,"Bellahalli, Bengaluru"
437,Renault Kwid,"4,25,000",2018,"26,461 KM",PETROL,"Bellahalli, Bengaluru"
438,Maruti Swift,"4,38,000",2012,"97,516 KM",DIESEL,"Horamavu Agara Road, Bengaluru"
439,Maruti Swift Dzire,"7,11,000",2016,"52,030 KM",DIESEL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
440,Renault Kwid,"5,95,000",2022,"7,600 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
441,Maruti S PRESSO,"4,54,000",2020,"24,088 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
442,Hyundai Grand i10,"4,52,000",2014,"49,486 KM",PETROL,"Sonnappanahalli, Bengaluru"
443,Honda Amaze,"3,74,000",2013,"1,26,329 KM",DIESEL,"Bellahalli, Bengaluru"
444,Hyundai Elite i20,"6,34,000",2017,"75,579 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
445,Maruti Alto K10,"3,51,000",2017,"29,094 KM",PETROL,"Horamavu Agara Road, Bengaluru"
446,Ford Ecosport,"9,25,000",2019,"24,126 KM",PETROL,"Sonnappanahalli, Bengaluru"
447,Honda City,"11,84,000",2020,"36,057 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
448,Maruti IGNIS,"5,35,000",2017,"57,009 KM",PETROL,"Bellahalli, Bengaluru"
449,Maruti Swift,"4,32,000",2014,"71,336 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
450,Maruti Vitara Brezza,"7,43,000",2017,"96,567 KM",DIESEL,"Garuda Mall, Magrath Road, Bengaluru"
451,Hyundai i20,"5,29,000",2014,"53,290 KM",PETROL,"GT World Mall, Bengaluru"
452,Hyundai Grand i10,"4,10,000",2013,"81,805 KM",DIESEL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
453,Renault Kwid,"5,08,000",2021,"19,062 KM",PETROL,"Bellahalli, Bengaluru"
454,Honda Jazz,"5,79,000",2017,"45,938 KM",PETROL,"Horamavu Agara Road, Bengaluru"
455,Hyundai New Elantra,"16,71,000",2021,"71,873 KM",DIESEL,"GT World Mall, Bengaluru"
456,Honda WR-V,"7,98,000",2017,"43,295 KM",PETROL,"GT World Mall, Bengaluru"
457,Renault Kwid,"4,13,000",2019,"34,916 KM",PETROL,"Bellahalli, Bengaluru"
458,Maruti Swift,"5,38,000",2016,"60,777 KM",PETROL,"Horamavu Agara Road, Bengaluru"
459,Hyundai GRAND I10 NIOS,"7,27,000",2021,"14,936 KM",PETROL,"Sonnappanahalli, Bengaluru"
460,Honda Amaze,"8,54,000",2022,"7,221 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
461,Hyundai NEW SANTRO,"5,40,000",2021,"34,368 KM",PETROL,"Horamavu Agara Road, Bengaluru"
462,Hyundai Grand i10,"6,05,000",2017,"17,574 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
463,Honda Jazz,"5,09,000",2015,"96,896 KM",PETROL,"GT World Mall, Bengaluru"
464,Maruti Swift,"5,28,000",2014,"52,311 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
465,Renault Kwid,"5,54,000",2020,"18,002 KM",PETROL,"Bellahalli, Bengaluru"
466,Honda Amaze,"7,59,000",2018,"53,497 KM",DIESEL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
467,Renault Kiger,"9,56,000",2021,"32,302 KM",PETROL,"Bellahalli, Bengaluru"
468,Maruti Swift,"6,50,000",2018,"42,162 KM",PETROL,"Bellahalli, Bengaluru"
469,Renault Duster,"6,81,000",2017,"68,505 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
470,Maruti IGNIS,"5,68,000",2017,"46,507 KM",PETROL,"Sonnappanahalli, Bengaluru"
