,CarName,Price,Year,KilometersDriven,Fuel Type,Location
216,Land Rover Range Rover Evoque,"32,99,000",2016,"78,000 km",Diesel,"Yousuf Guda, Hyderabad"
217,Jaguar F-Pace,"44,99,000",2018,"69,000 km",Diesel,"Yousuf Guda, Hyderabad"
218,Volvo S60,"24,00,000",2017,"69,000 km",Diesel,"Yousuf Guda, Hyderabad"
219,Honda City,"12,49,000",2018,"39,000 km",Petrol,"Yousuf Guda, Hyderabad"
220,Maruti Suzuki XL6,"10,50,000",2020,"69,000 km",Petrol,"Ameerpet, Hyderabad"
221,Caterham 7,"1,30,000",2022,"2,986 km",Petrol,"Madhapur, Hyderabad"
222,Hyundai i20,"3,90,000",2013,"89,635 km",Diesel,"Madhapur, Hyderabad"
223,Hyundai Verna,"1,45,000",2008,"102,531 km",Diesel,"Madhapur, Hyderabad"
224,Hyundai i20,"3,50,000",2012,"86,531 km",Diesel,"Madhapur, Hyderabad"
225,Volkswagen VentoTest,"3,55,000",2012,"85,331 km",Diesel,"Madhapur, Hyderabad"
226,Honda City,"5,35,000",2014,"85,631 km",Diesel,"Madhapur, Hyderabad"
227,Kia Seltos,"13,95,000",2020,"17,896 km",Petrol,"Madhapur, Hyderabad"
228,Ford Ecosport,"8,50,000",2017,"99,000 km",Petrol,"Begumpet, Hyderabad"
229,Hyundai Eon,"2,35,000",2013,"65,000 km",Petrol,"Madhapur, Hyderabad"
230,Ford Figo Aspire,"3,65,000",2016,"77,422 km",Diesel,"Madhapur, Hyderabad"
231,Ford Ecosport,"6,75,000",2016,"80,808 km",Diesel,"Madhapur, Hyderabad"
232,Maruti Suzuki Vitara-Brezza,"10,30,000",2019,"85,000 km",Diesel,"Madhapur, Hyderabad"
233,Hyundai Santa Fe,"5,25,000",2012,"125,316 km",Diesel,"Madhapur, Hyderabad"
234,Hyundai Verna,"1,80,000",2007,"101,253 km",Diesel,"Madhapur, Hyderabad"
235,Mercedes-Benz C Class,"3,99,000",2008,"116,523 km",Diesel,"Madhapur, Hyderabad"
236,Maruti Suzuki Vitara-Brezza,"10,45,000",2021,"21,531 km",Petrol,"Madhapur, Hyderabad"
237,Hyundai i10,"2,05,000",2013,"28,319 km",Petrol,"Madhapur, Hyderabad"
238,Honda City,"9,50,000",2017,"12,795 km",Diesel,"Madhapur, Hyderabad"
239,Hyundai Grand i10,"4,99,000",2016,"48,000 km",Petrol,"Kukatpally, Hyderabad"
240,Maruti Suzuki Vitara-Brezza,"10,50,000",2018,"55,000 km",Diesel,"Begumpet, Hyderabad"
241,Maruti Suzuki Swift-Dzire,"2,65,000",2009,"60,000 km",Petrol,"Begumpet, Hyderabad"
242,Hyundai Venue,"9,25,000",2021,"121,321 km",Diesel,"Kukatpally, Hyderabad"
243,Maruti Suzuki Swift-Dzire,"4,90,000",2015,"61,000 km",Diesel,"Begumpet, Hyderabad"
244,Hyundai Grand i10,"5,75,000",2017,"49,000 km",Petrol,"Sanath Nagar, Hyderabad"
245,Maruti Suzuki Swift Dzire Tour,"7,60,000",2020,75000.0 km,Diesel,"Mythri Nagar, Hyderabad"
246,audi audi-q7,"41,99,000",2015,"77,000 km",Diesel,"Yousuf Guda, Hyderabad"
247,Maruti Suzuki Swift-Dzire,"5,95,000",2018,"116,000 km",Diesel,"Balkampet, Hyderabad"
248,Mini Cooper S,"42,00,000",2022,"20,000 km",Petrol,"Venktagiri Nagar, Hyderabad"
249,Hyundai Creta,"10,15,000",2018,"102,575 km",Diesel,"Madhapur, Hyderabad"
250,Kia Seltos,"11,40,000",2021,"20,000 km",Petrol,"Kukatpally, Hyderabad"
251,Audi A4,"9,99,000",2012,"66,000 km",Diesel,"Yousuf Guda, Hyderabad"
252,Mahindra Scorpio,"9,00,000",2014,"108,000 km",Diesel,"Kukatpally, Hyderabad"
253,Maruti Suzuki Swift-Dzire,"4,80,000",2014,"79,000 km",Petrol,"Kukatpally, Hyderabad"
254,Tata Indica Vista,"1,50,000",2012,"89,000 km",Diesel,"Yousuf Guda, Hyderabad"
255,Hyundai Grand i10,"3,85,000",2013,"62,859 km",Diesel,"Kukatpally, Hyderabad"
256,Hyundai i10,"3,35,000",2012,"66,997 km",Petrol,"Kukatpally, Hyderabad"
257,Audi A6,"24,99,000",2016,"49,000 km",Diesel,"Yousuf Guda, Hyderabad"
258,Maruti Suzuki Baleno,"6,80,000",2018,"99,000 km",Petrol,"Yousuf Guda, Hyderabad"
