CarName,Price,Year,KilometersDriven,Fuel Type,Location
Mercedes-Benz E-Class E250 CDI Avantgarde,23.90 Lakh,2017,"35,000 km",Diesel,"Chittranjan Park, New Delhi"
Mahindra Scorpio S7 140 BSIV,10.50 Lakh,2018,"70,000 km",Diesel,New Delhi
Kia Seltos HTX Diesel,12.50 Lakh,2019,"55,000 km",Diesel,"Preet Vihar, New Delhi"
Hyundai Creta 1.6 VTVT E Plus,8.50 Lakh,2017,"58,525 km",Petrol,"Vasant Kunj, New Delhi"
Audi Q3 30 TFSI Premium FWD,22.50 Lakh,2018,"39,000 km",Petrol,"Moti Nagar, New Delhi"
Land Rover Discovery Sport TD4 SE 7S,27.50 Lakh,2017,"93,000 km",Diesel,"Moti Nagar, New Delhi"
Honda BR-V i-VTEC VX MT,6.42 Lakh,2016,"68,685 km",Petrol,"Sector 18, Noida"
Hyundai Creta 1.6 CRDi AT SX Plus,10.90 Lakh,2018,"65,400 km",Diesel,"Sector 12, Gurgaon"
Maruti Baleno 1.2 Delta,4.64 Lakh,2015,"68,675 km",Petrol,"Sector 18, Noida"
Toyota Fortuner 2.7 2WD MT BSIV,25.90 Lakh,2016,"55,000 km",Petrol,Gurgaon
Mahindra XUV500 W7,9.65 Lakh,2018,"72,169 km",Diesel,"Pitampura, New Delhi"
Maruti Baleno 1.2 Delta,5.09 Lakh,2017,"71,475 km",Petrol,"Raj Nagar Extension S.o, Ghaziabad"
BMW X5 xDrive 30d xLine,71.99 Lakh,2019,"37,000 km",Diesel,"Chittranjan Park, New Delhi"
Mercedes-Benz Maybach S-Class S580,2.65 Crore,2023,"4,000 km",Petrol,"Rajender Nagar, New Delhi"
Maruti Ciaz VXi Plus,5.48 Lakh,2015,"44,237 km",Petrol,"Chattarpur, New Delhi"
Land Rover Range Rover Velar P250 R-Dynamic SE,58.75 Lakh,2018,"53,000 km",Petrol,"Patparganj, New Delhi"
Maruti Ciaz ZXi,5.64 Lakh,2015,"48,211 km",Petrol,"Ramgarh B.o, Gurgaon"
